id,area_used,area,bedroom,wc,juridical,latitude,longitude,seniority,witdh,length,no_hospital_1km,no_school_1km,no_cafe_1km,no_restaurant_1km,no_atm_1km,no_bank_1km,no_supermarket_1km,no_marketplace_1km,no_pharmacy_1km,no_fuel_1km,address_district,address_ward,address_street,price(billionVND)
22411367,1.0,1.0,6.0,5.0,Sổ hồng,10.814869405,106.77146530000005,515.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0, Quận 9 (TP. Thủ Đức), Phường Phước Bình, Đỗ Xuân Hợp,21.5
22471644,1.0,1.0,4.0,3.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Nguyễn Duy Trinh,9.5
22486334,1.0,1.0,3.0,3.0,Sổ hồng,10.784618855,106.77885055499996,515.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Đông, Nguyễn Văn Giáp,5.6
22157794,1.0,1.0,1.0,1.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Lê Văn Thịnh,20.5
22303427,1.0,1.0,1.0,1.0,Sổ hồng,10.79769564,106.75702666999996,515.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường An Phú, Thân Văn Nhiếp,33.0
22325194,1.0,1.0,1.0,1.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Nguyễn Duy Trinh,12.0
22353171,1.0,1.0,4.0,5.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Đường số 39,13.0
22530670,278.0,78.0,5.0,5.0,Sổ hồng,10.738165855,106.66385269,1060.0,5.0,15.0,2.0,16.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,7.0, Quận 8, Phường 5, Đường Số 320,11.3
22396615,1.0,1.0,1.0,1.0,Sổ hồng,10.84850788,106.82007598999996,515.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Long Thạnh Mỹ, Nguyễn Xiển,15.0
22520266,97.0,30.0,3.0,3.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,7.0,5.0,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Chánh Hưng,4.89
22410134,298.0,298.0,1.0,1.0,Sổ hồng,10.7884427,106.73433139999996,515.0,8.5,34.0,0.0,11.0,5.0,5.0,1.0,1.0,0.0,4.0,0.0,3.0, Quận 2 (TP. Thủ Đức), Phường Bình An, Trần Não,42.8
22536871,500.0,80.0,6.0,7.0,Sổ hồng,10.74192953,106.70975494000004,1060.0,4.0,20.0,0.0,11.0,17.0,24.0,13.0,5.0,0.0,2.0,8.0,4.0, Quận 7, Phường Tân Quy, Đường 47,16.6
22410179,76.0,76.0,4.0,5.0,Sổ hồng,10.7814628,106.71609260000002,515.0,4.0,19.0,0.0,5.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường An Khánh, Lương Định Của,18.0
22520294,300.0,100.0,6.0,6.0,Sổ hồng,10.71220684,106.620010375,1060.0,5.0,20.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0, Quận 8, Phường 7, Phạm Thế Hiển,9.0
22520265,223.0,67.0,9.0,9.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,4.03,17.0,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4,141/97 Tám Danh,7.9
22486320,1.0,1.0,3.0,3.0,Sổ hồng,10.797850135,106.80248260500002,515.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phú Hữu, Đỗ Xuân Hợp,25.5
22520273,600.0,100.0,17.0,17.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,4.11,18.41,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Phạm Hùng,17.8
22520257,158.0,41.0,4.0,5.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,3.5,12.0,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Tám Danh,8.99
22520259,400.0,100.0,12.0,13.0,Sổ hồng,10.738165855,106.66385269,1060.0,5.0,20.0,2.0,16.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,7.0, Quận 8, Phường 5, Bùi Minh Trực,12.0
22528436,300.0,108.0,6.0,7.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,6.0,18.0,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Phạm Nhữ Tăng,20.99
22520271,42.0,21.0,2.0,2.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,4.63,7.57,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4,141/97 Tám Danh,2.99
22520255,120.0,60.0,4.0,5.0,Sổ hồng,10.744262215,106.69773483000006,1060.0,3.4,18.0,1.0,9.0,5.0,13.0,6.0,2.0,0.0,2.0,4.0,4.0, Quận 7, Phường Tân Hưng,861 Trần Xuân Soạn,6.45
22328168,1.0,1.0,3.0,4.0,Sổ hồng,10.769029615,106.78537368499995,515.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường Cát Lái, Đường số 3,15.5
